epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8394,2.47145,3.47205,0.00378,0.33467,0.16096,0.0811,0.03924,2.33124,2.22607,0.00432,0.000237412,0.000237412,0.000237412
2,154.05,2.38288,2.15895,0.0033,0.24303,0.19218,0.12646,0.066,2.26555,1.9753,0.00414,0.000465999,0.000465999,0.000465999
3,225.345,2.35639,1.98825,0.0032,0.26287,0.21841,0.15491,0.0799,2.253,1.88159,0.00411,0.000685161,0.000685161,0.000685161
4,296.056,2.31856,1.89394,0.00314,0.28626,0.22933,0.17632,0.09468,2.20113,1.80294,0.00402,0.000671588,0.000671588,0.000671588
5,367.943,2.29978,1.82681,0.00309,0.30887,0.23928,0.18615,0.09811,2.21728,1.77338,0.00395,0.000657451,0.000657451,0.000657451
6,439.151,2.3008,1.78084,0.00305,0.31411,0.26006,0.19915,0.10613,2.18169,1.73608,0.0039,0.000643314,0.000643314,0.000643314
7,510.654,2.28242,1.74785,0.00302,0.31776,0.26117,0.20834,0.11302,2.15614,1.67145,0.00388,0.000629177,0.000629177,0.000629177
8,591.04,2.27165,1.71864,0.00298,0.34677,0.26393,0.21734,0.11793,2.16712,1.67032,0.00385,0.00061504,0.00061504,0.00061504
9,661.845,2.2525,1.69205,0.00295,0.33156,0.26885,0.22063,0.11969,2.15032,1.65453,0.00381,0.000600902,0.000600902,0.000600902
10,734.145,2.2531,1.67504,0.00292,0.34321,0.26664,0.22165,0.12152,2.14475,1.65394,0.00379,0.000586765,0.000586765,0.000586765
11,828.853,2.2293,1.65211,0.0029,0.34907,0.27221,0.22911,0.12274,2.13187,1.62479,0.00379,0.000572628,0.000572628,0.000572628
12,900.546,2.23089,1.65155,0.00289,0.35166,0.27034,0.22998,0.12397,2.14113,1.62954,0.00377,0.000558491,0.000558491,0.000558491
13,993.15,2.21539,1.6261,0.00289,0.36174,0.2827,0.2376,0.12977,2.10233,1.62457,0.00372,0.000544354,0.000544354,0.000544354
14,1066.02,2.21298,1.62114,0.00286,0.35501,0.29083,0.24047,0.13031,2.12964,1.62153,0.00374,0.000530216,0.000530216,0.000530216
